,Area,Year,Variable,Value
311387,World,2017,Other Fossil,600.72
311388,World,2017,Other Renewables,3.22
311389,World,2017,Solar,21.28
311390,World,2017,Wind,12.51
311448,World,2018,Bioenergy,125.26
311449,World,2018,Coal,8077.91
311450,World,2018,Gas,2904.06
311451,World,2018,Hydro,100.15
311452,World,2018,Nuclear,31.44
311453,World,2018,Other Fossil,545.77
311454,World,2018,Other Renewables,3.36
311455,World,2018,Solar,27.27
311456,World,2018,Wind,13.96
311514,World,2019,Bioenergy,132.42
311515,World,2019,Coal,7923.22
311516,World,2019,Gas,3021.16
311517,World,2019,Hydro,101.3
311518,World,2019,Nuclear,32.69
311519,World,2019,Other Fossil,512.9
311520,World,2019,Other Renewables,3.45
311521,World,2019,Solar,33.31
311522,World,2019,Wind,15.6
311580,World,2020,Bioenergy,137.68
311581,World,2020,Coal,7581.67
311582,World,2020,Gas,2946.26
311583,World,2020,Hydro,103.81
311584,World,2020,Nuclear,31.63
311585,World,2020,Other Fossil,486.07
311586,World,2020,Other Renewables,3.62
311587,World,2020,Solar,40.03
311588,World,2020,Wind,17.42
311646,World,2021,Bioenergy,151.82
311647,World,2021,Coal,8244.26
311648,World,2021,Gas,2999.48
311649,World,2021,Hydro,101.07
311650,World,2021,Nuclear,32.84
311651,World,2021,Other Fossil,528.43
311652,World,2021,Other Renewables,3.68
311653,World,2021,Solar,48.85
311654,World,2021,Wind,20.36
